['2018-02-09', 344166.0, '77.88', '74.50', '87.87', None]
['2018-02-12', 108096282.19, '74.76', '74.13', '90.84', None]
['2018-02-13', 234930887.35, '71.24', '74.77', '90.84', None]
['2018-02-14', 6492677.67, '70.32', '74.83', '90.84', None]
['2018-02-14', 6759800.74, '70.32', '74.83', '90.84', None]
['2018-02-15', 144323.48, '70.58', '72.74', '90.00', None]
['2018-02-21', 38760086.72, '72.32', '76.21', '86.91', None]
['2018-02-21', 19125922.76, '72.32', '76.21', '86.91', None]
['2018-02-21', 199574.5, '72.32', '76.21', '86.91', None]
['2018-02-21', 259461446.51, '72.32', '76.21', '86.91', None]
['2018-02-21', 108096282.19, '72.32', '76.21', '86.91', None]
['2018-02-21', 575808.9, '72.32', '76.21', '86.91', None]
['2018-02-21', 359744.0, '72.32', '76.21', '86.91', None]
['2018-02-21', 156199.98, '72.32', '76.21', '86.91', None]
['2018-02-21', 27887280.88, '72.32', '76.21', '86.91', None]
['2018-02-21', 94096734.11, '72.32', '76.21', '86.91', None]
['2018-02-21', 512300.0, '72.32', '76.21', '86.91', None]
['2018-02-22', 27823250.1, '72.70', '76.88', '86.83', None]
['2018-02-22', 2653186.84, '72.70', '76.88', '86.83', None]
['2018-02-22', 19407338.0, '72.70', '76.88', '86.83', None]
['2018-02-23', 5775943.47, '72.95', '79.16', '85.69', None]
['2018-02-23', 32392855.36, '72.95', '79.16', '85.69', None]
['2018-02-23', 1098728.69, '72.95', '79.16', '85.69', None]
['2018-02-23', 10952791.85, '72.95', '79.16', '85.69', None]
['2018-02-26', 10830505.02, '72.79', '79.42', '85.18', None]
['2018-02-27', 5775943.47, '72.79', '79.42', '85.18', None]
['2018-02-27', 250000.0, '72.79', '79.42', '85.18', None]
['2018-02-27', 6492677.67, '72.79', '79.42', '85.18', None]
['2018-02-27', 164327.95, '72.79', '79.42', '85.18', None]
['2018-02-28', 447020.71, '73.52', '79.02', '85.18', None]
['2018-03-01', 5562670.5, '73.74', '77.90', '88.48', None]
['2018-03-01', 344470.47, '73.74', '77.90', '88.48', None]
['2018-03-01', 181707202.03, '73.74', '77.90', '88.48', None]
['2018-03-01', 19407338.0, '73.74', '77.90', '88.48', None]
['2018-03-01', 72414592.0, '73.74', '77.90', '88.48', None]
['2018-03-02', 728528.58, '74.50', '77.80', '89.49', None]
['2018-03-02', 6759800.74, '74.50', '77.80', '89.49', None]
['2018-03-02', 995000.0, '74.50', '77.80', '89.49', None]
['2018-03-02', 281622.0, '74.50', '77.80', '89.49', None]
['2018-03-05', 206714.85, '74.13', '77.88', '87.87', None]
['2018-03-06', 3641346.44, '74.77', '77.13', '88.39', None]
['2018-03-06', 19407338.0, '74.77', '77.13', '88.39', None]
['2018-03-07', 247019.98, '74.83', '77.76', '88.45', None]
['2018-03-07', 130509.99, '74.83', '77.76', '88.45', None]
['2018-03-08', 181707202.03, '72.74', '78.02', '88.74', None]
['2018-03-08', 6194970.4, '72.74', '78.02', '88.74', None]
['2018-03-09', 31983902.0, '74.55', '77.32', '88.48', None]
['2018-03-09', 6492677.67, '74.55', '77.32', '88.48', None]
['2018-03-09', 108162.0, '74.55', '77.32', '88.48', None]
['2018-03-09', 767228.01, '74.55', '77.32', '88.48', None]
['2018-03-09', 5320292.56, '74.55', '77.32', '88.48', None]
['2018-03-09', 413042.16, '74.55', '77.32', '88.48', None]
['2018-03-12', 6492677.67, '75.88', '75.81', '89.14', None]
['2018-03-13', 153313.0, '76.41', '75.52', '89.30', None]
['2018-03-13', 9211490.13, '76.41', '75.52', '89.30', None]
['2018-03-13', 163474.44, '76.41', '75.52', '89.30', None]
['2018-03-13', 2744733.32, '76.41', '75.52', '89.30', None]
['2018-03-13', 4614645.57, '76.41', '75.52', '89.30', None]
['2018-03-14', 6492677.67, '76.21', '76.14', '87.00', None]
['2018-03-14', 181707202.03, '76.21', '76.14', '87.00', None]
['2018-03-14', 344470.47, '76.21', '76.14', '87.00', None]
['2018-03-14', 7169676.92, '76.21', '76.14', '87.00', None]
['2018-03-15', 2845707.0, '76.88', '74.19', '82.44', None]
['2018-03-16', 379672.99, '79.16', '79.53', '80.82', None]
['2018-03-16', 358909.72, '79.16', '79.53', '80.82', None]
['2018-03-16', 4614645.57, '79.16', '79.53', '80.82', None]
['2018-03-16', 248499.2, '79.16', '79.53', '80.82', None]
['2018-03-19', 1660922.3, '79.42', '83.12', '81.64', None]
['2018-03-19', 14365263.52, '79.42', '83.12', '81.64', None]
['2018-03-19', 995000.0, '79.42', '83.12', '81.64', None]
['2018-03-20', 27823250.1, '79.02', '83.19', '82.15', None]
['2018-03-20', 281791.14, '79.02', '83.19', '82.15', None]
['2018-03-21', 1098728.69, '77.90', '83.86', '82.15', None]
